"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output"
"M-003-1","All-Even Character Substrings","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Follow the stated tie rule.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4"
"M-003-2","All-Even Character Substrings Planner","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Print only the requested result.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4"
"M-003-3","All-Even Character Substrings Checkpoint","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Treat every input independently.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4"
"M-003-4","All-Even Character Substrings Tracker","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Keep the format unchanged.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4"
"M-003-5","All-Even Character Substrings Verifier","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Use the same definition throughout.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4"
"M-004-1","Subarray AND Nearest Target","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Follow the stated tie rule.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5"
"M-004-2","Subarray AND Nearest Target Planner","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Print only the requested result.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5"
"M-004-3","Subarray AND Nearest Target Checkpoint","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Treat every input independently.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5"
"M-004-4","Subarray AND Nearest Target Tracker","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Keep the format unchanged.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5"
"M-004-5","Subarray AND Nearest Target Verifier","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Use the same definition throughout.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5"
"M-005-1","Power Contribution Count","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Follow the stated tie rule.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10"
"M-005-2","Power Contribution Count Planner","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Print only the requested result.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10"
"M-005-3","Power Contribution Count Checkpoint","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Treat every input independently.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10"
"M-005-4","Power Contribution Count Tracker","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Keep the format unchanged.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10"
"M-005-5","Power Contribution Count Verifier","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Use the same definition throughout.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10"
"M-006-1","GCD Target Reachability","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Follow the stated tie rule.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES"
"M-006-2","GCD Target Reachability Planner","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Print only the requested result.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES"
"M-006-3","GCD Target Reachability Checkpoint","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Treat every input independently.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES"
"M-006-4","GCD Target Reachability Tracker","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Keep the format unchanged.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES"
"M-006-5","GCD Target Reachability Verifier","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Use the same definition throughout.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES"
"M-007-1","Common Repeating Unit","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Follow the stated tie rule.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","AA","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC"
"M-007-2","Common Repeating Unit Planner","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Print only the requested result.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","AA","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC"
"M-007-3","Common Repeating Unit Checkpoint","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Treat every input independently.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","AA","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC"
"M-007-4","Common Repeating Unit Tracker","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Keep the format unchanged.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","AA","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC"
"M-007-5","Common Repeating Unit Verifier","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Use the same definition throughout.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","AA","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC"
"M-008-1","Digit One Occurrence Count","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Follow the stated tie rule.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173"
"M-008-2","Digit One Occurrence Count Planner","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Print only the requested result.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173"
"M-008-3","Digit One Occurrence Count Checkpoint","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Treat every input independently.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173"
"M-008-4","Digit One Occurrence Count Tracker","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Keep the format unchanged.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173"
"M-008-5","Digit One Occurrence Count Verifier","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Use the same definition throughout.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173"
"M-009-1","Coprime Remainder Construction","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Follow the stated tie rule.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23"
"M-009-2","Coprime Remainder Construction Planner","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Print only the requested result.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23"
"M-009-3","Coprime Remainder Construction Checkpoint","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Treat every input independently.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23"
"M-009-4","Coprime Remainder Construction Tracker","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Keep the format unchanged.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23"
"M-009-5","Coprime Remainder Construction Verifier","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Use the same definition throughout.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23"
"M-010-1","Coprime Pair Count","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Follow the stated tie rule.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1"
"M-010-2","Coprime Pair Count Planner","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Print only the requested result.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1"
"M-010-3","Coprime Pair Count Checkpoint","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Treat every input independently.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1"
"M-010-4","Coprime Pair Count Tracker","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Keep the format unchanged.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1"
"M-010-5","Coprime Pair Count Verifier","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Use the same definition throughout.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1"
"M-011-1","Safe Circular Balance Start","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Follow the stated tie rule.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0"
"M-011-2","Safe Circular Balance Start Planner","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Print only the requested result.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0"
"M-011-3","Safe Circular Balance Start Checkpoint","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Treat every input independently.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0"
"M-011-4","Safe Circular Balance Start Tracker","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Keep the format unchanged.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0"
"M-011-5","Safe Circular Balance Start Verifier","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Use the same definition throughout.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0"
"M-012-1","Smallest Limited-Swap String","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Follow the stated tie rule.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy"
"M-012-2","Smallest Limited-Swap String Planner","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Print only the requested result.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy"
"M-012-3","Smallest Limited-Swap String Checkpoint","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Treat every input independently.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy"
"M-012-4","Smallest Limited-Swap String Tracker","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Keep the format unchanged.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy"
"M-012-5","Smallest Limited-Swap String Verifier","Master","Greedy","One adjacent swap exchanges neighboring characters. You may use at most K swaps to make the string as lexicographically small as possible.","Print the smallest obtainable string. Use the same definition throughout.","Line 1: string S.
Line 2: K.","1 <= |S| <= 200000
0 <= K <= 10^9
lowercase English letters","a
0","a","a
0","a","cba
1","bca","cba
2","acb","dcba
3","adcb","baca
2","abac","leetcode
5","celetode","aaaa
3","aaaa","zxy
1","xzy"
