"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output"
"P-003-1","The Gluttonous Gourmet","Platinum","Logistics","A food critic is tasked with sampling several plates of snacks before a festival begins. The critic eats at a constant integer speed of 'K' snacks per hour. Once the critic starts a plate, they must finish it before moving to the next. If a plate has fewer snacks than the critic's hourly speed, they still spend the full hour finishing that plate and do not start the next one until the next hour begins.","Given a list of snack counts on each plate and a deadline in hours, find the minimum integer speed K (snacks per hour) such that the critic can finish all plates within the deadline.","Line 1: Two space-separated integers, N (number of plates) and H (deadline in hours).
Line 2: N space-separated integers representing the number of snacks on each plate.","1 <= N <= 200,000; N <= H <= 1,000,000,000; Snack counts are between 1 and 1,000,000,000.","4 8
3 6 7 11","4","4 8
3 6 7 11","4","3 3
5 10 15","15","3 100
5 10 15","1","2 5
1000000000 1000000000","500000000","1 1
1","1","3 6
10 10 10","5","2 3
1 10","5","4 5
4 4 4 4","4"
"P-003-2","Server Bandwidth Allocation","Platinum","Networking","A server needs to download a series of files. The server can only download one file at a time. The download speed is fixed at an integer rate of R megabits per second (Mbps). For any file, the time taken is the file size divided by R, rounded up to the nearest second, because the server only initiates new transfers at the start of a second.","Determine the minimum integer rate R (Mbps) required to complete all downloads within T seconds.","Line 1: Two space-separated integers, N (number of files) and T (total time limit in seconds).
Line 2: N space-separated integers representing the size of each file in megabits.","1 <= N <= 200,000; N <= T <= 1,000,000,000; File sizes are between 1 and 1,000,000,000.","5 6
10 20 30 40 50","40","5 6
10 20 30 40 50","40","1 10
100","10","3 3
10 10 10","10","4 10
1 1 1 1","1","2 4
10 20","10","2 3
10 20","20","3 9
10 10 10","4","2 2
1000000000 1","1000000000"
"P-003-3","Quality Control Quota","Platinum","Manufacturing","A quality control technician inspects batches of circuit boards. The technician works at a fixed integer rate of B boards per minute. Each batch must be completed before starting the next. If a batch is finished in the middle of a minute, the technician waits until the start of the next minute to begin the next batch.","Find the minimum integer rate B (boards per minute) to finish inspecting all batches within M minutes.","Line 1: Two space-separated integers, N (number of batches) and M (total time in minutes).
Line 2: N space-separated integers representing the number of boards in each batch.","1 <= N <= 200,000; N <= M <= 1,000,000,000; Batch sizes are between 1 and 1,000,000,000.","3 7
100 100 100","50","3 7
100 100 100","50","3 3
100 100 100","100","3 9
100 100 100","34","2 10
5 5","1","5 5
1 2 3 4 5","5","4 6
10 10 10 10","7","1 5
50","10","2 3
10 10","7"
"P-003-4","Speed Reading Challenge","Platinum","Education","A student needs to read several chapters of a textbook. The student reads at a constant integer speed of P pages per hour. A chapter must be finished entirely before the student can start the next one. If a chapter ends partway through an hour, the student takes a break and starts the next chapter at the beginning of the next hour.","Calculate the minimum integer speed P (pages per hour) required to read all chapters within K hours.","Line 1: Two space-separated integers, N (number of chapters) and K (total hours available).
Line 2: N space-separated integers representing the number of pages in each chapter.","1 <= N <= 200,000; N <= K <= 1,000,000,000; Page counts are between 1 and 1,000,000,000.","3 6
10 10 10","5","3 6
10 10 10","5","4 10
1 1 1 1","1","2 3
7 9","5","3 5
10 10 10","10","2 2
50 100","100","3 4
10 10 10","10","5 10
20 20 20 20 20","10","1 2
15","8"
"P-003-5","Electric Fleet Charging","Platinum","Energy","A fleet of electric vehicles is lined up at a charging station. The station charges one vehicle at a time at a constant integer rate of W kilowatts (kW). Charging time is calculated as the energy needed (kWh) divided by the rate W, rounded up to the nearest hour. The next vehicle cannot start charging until the current hour is finished.","Find the minimum integer charging rate W (kW) to ensure all vehicles are charged within H hours.","Line 1: Two space-separated integers, N (number of vehicles) and H (total hours available).
Line 2: N space-separated integers representing the energy required by each vehicle in kWh.","1 <= N <= 200,000; N <= H <= 1,000,000,000; Energy requirements are between 1 and 1,000,000,000.","2 4
7 9","5","2 4
7 9","5","3 3
10 20 30","30","3 6
10 20 30","10","4 8
1 1 1 1","1","2 5
100 100","40","2 2
1000 1000","1000","3 5
15 15 15","15","2 3
5 15","8"
"P-004-1","Lecture Blocks","Platinum","partitioning","You have a sequence of lecture durations (nonnegative integers). You must cut the sequence into contiguous blocks (each block contains consecutive lectures) so that there are exactly k blocks. The objective is to minimize the largest total duration among the blocks. If it is impossible to make exactly k non-empty blocks, report -1.","Given n and k and an array of n nonnegative integers, partition the array into exactly k contiguous, non-empty groups. Output the minimum possible value of the largest group sum. If no partition into exactly k non-empty groups exists (i.e., k>n), output -1. Ties are resolved by the numeric minimum of the largest sum.","Line 1: two integers n k
Line 2: n space-separated nonnegative integers a1 a2 ... an","1 ≤ n ≤ 200000, 1 ≤ k ≤ 200000, 0 ≤ ai ≤ 10^9, O(n log(sum ai)) expected.","5 3
2 1 4 1 1","4","5 3
2 1 4 1 1","4","4 2
5 5 5 5","10","3 2
0 0 0","0","3 5
1 2 3","-1","6 3
7 2 5 10 8 1","14","4 1
100 0 0 0","100","1 1
99999","99999","5 5
3 1 4 1 5","5"
"P-004-2","Shard Logs At-Most","Platinum","sharding","You need to split a stream of log sizes (nonnegative integers) into at most k contiguous shards. You may use fewer than k shards. The objective is to minimize the maximum shard sum. When the same minimal maximum can be achieved by several shardings, choose the solution that uses the smallest possible number of shards (still ≤ k) and report that number along with the minimal maximum.","Given n and k and an array of n nonnegative integers, partition the array into at most k contiguous groups. First minimize the largest group sum; among all partitions achieving that minimal maximum, output that minimal maximum and the smallest number of groups used. Always produce two integers: the minimal possible largest group sum and the minimal number of groups achieving it.","Line 1: two integers n k
Line 2: n space-separated nonnegative integers a1 a2 ... an","1 ≤ n ≤ 200000, 1 ≤ k ≤ 200000, 0 ≤ ai ≤ 10^9. Greedy feasibility / binary search solution fits time limits.","6 3
2 1 4 1 1 3","5 3","6 3
2 1 4 1 1 3","5 3","4 3
5 5 5 5","10 3","3 5
0 0 0","0 1","3 100
1 2 3","3 2","5 2
1 1 1 1 1","3 2","1 1
100","100 1","6 2
3 3 3 3 3 3","9 2","5 5
3 1 4 1 5","5 3"
"P-004-3","Divide Pages with Minimum Chapters","Platinum","book-binding","You have a sequence of page counts for sections (nonnegative integers). You must split the sequence into exactly k contiguous chapters, and each chapter must contain at least L sections (L≥1). The goal is to minimize the largest chapter page total. If the constraints on sizes make an exact k-partition impossible, report -1.","Input n, k, L and the array of n nonnegative integers. Partition into exactly k contiguous groups, each group containing at least L elements. Output the minimal possible largest group sum, or -1 if no valid partition exists. If multiple partitions tie, return the numeric minimal largest sum.","Line 1: three integers n k L
Line 2: n space-separated nonnegative integers a1 a2 ... an","1 ≤ n ≤ 200000, 1 ≤ k ≤ 200000, 1 ≤ L ≤ n, 0 ≤ ai ≤ 10^9. If k*L > n then no solution.","7 3 2
4 2 1 3 1 1 2","6","7 3 2
4 2 1 3 1 1 2","6","5 2 3
1 2 3 4 5","-1","4 2 1
0 0 0 0","0","3 3 1
5 5 5","5","6 3 2
10 0 0 0 0 0","10","1 1 1
7","7","6 2 2
3 3 3 3 3 3","9","7 3 2
1 1 1 1 1 1 1","3"
"P-004-4","Shard Files with Max-Count","Platinum","storage","You have files of nonnegative sizes in a given order. Each shard may contain at most M files (contiguous in the original order). You may use up to k shards in total (you may use fewer). The objective is to minimize the maximum shard size. If respecting the per-shard element limit makes it impossible to fit into k shards, report -1.","Given n, k, M and an array of n nonnegative integers, partition the array into at most k contiguous groups where each group contains at most M elements. Output the minimal possible largest group sum, or -1 if no valid partition exists (i.e., if ceil(n/M) > k).","Line 1: three integers n k M
Line 2: n space-separated nonnegative integers a1 a2 ... an","1 ≤ n ≤ 200000, 1 ≤ k ≤ 200000, 1 ≤ M ≤ n, 0 ≤ ai ≤ 10^9.","7 3 3
2 2 2 2 2 2 2","6","7 3 3
2 2 2 2 2 2 2","6","4 4 1
5 1 4 2","5","6 2 2
1 1 1 1 1 1","-1","5 5 3
0 0 0 0 0","0","5 3 2
3 1 2 1 1","4","1 1 1
100","100","6 2 5
10 10 10 10 10 10","30","7 7 3
1 2 3 4 5 6 7","7"
"P-004-5","Cargo Trucks Allow Empty","Platinum","logistics","You must load n cargo items (nonnegative weights) in the given order into exactly k trucks. Trucks are filled as contiguous blocks of items; however, trucks are allowed to be empty. The objective is to minimize the maximum total weight carried by any truck. Because empty trucks are allowed, it is always possible to have exactly k groups (k≥1).","Given n and k and an array of n nonnegative integers, partition the array into exactly k contiguous groups, where empty groups are permitted. Output the minimal possible largest group sum. Ties are resolved by numeric minimum of the largest sum.","Line 1: two integers n k
Line 2: n space-separated nonnegative integers a1 a2 ... an","1 ≤ n ≤ 200000, 1 ≤ k ≤ 200000, 0 ≤ ai ≤ 10^9. Empty groups allowed (groups may have zero elements).","3 5
4 1 2","4","3 5
4 1 2","4","5 3
2 2 2 2 2","4","2 4
0 0","0","1 10
100","100","6 6
5 5 5 5 5 5","5","4 1
7 1 2 1","11","4 3
3 3 3 3","6","7 2
1 1 1 1 1 1 1","4"
"P-005-1","Wall-Break Shortest Route","Platinum","BFS","A grid cell marked 0 is open and 1 is blocked. You may turn one blocked cell into an open cell while walking, but may move only up, down, left, or right.","Print the fewest moves from the top-left cell to the bottom-right cell, using at most one wall break. Print -1 if unreachable. Use the stated rule exactly.","Line 1: R C.
Lines 2 through R+1: C characters 0 or 1 per row.","1 <= R,C <= 1000
start and target are open
use at most one wall break","1 1
0","0","1 1
0","0","2 2
00
00","2","2 2
01
10","2","3 3
010
111
000","4","3 3
010
010
010","4","3 3
000
111
000","4","3 3
001
101
100","4","4 4
0100
1110
0000
0110","6"
"P-005-2","Wall-Break Shortest Route Planner","Platinum","BFS","A grid cell marked 0 is open and 1 is blocked. You may turn one blocked cell into an open cell while walking, but may move only up, down, left, or right.","Print the fewest moves from the top-left cell to the bottom-right cell, using at most one wall break. Print -1 if unreachable. Treat all values as part of one ordered scenario.","Line 1: R C.
Lines 2 through R+1: C characters 0 or 1 per row.","1 <= R,C <= 1000
start and target are open
use at most one wall break","1 1
0","0","1 1
0","0","2 2
00
00","2","2 2
01
10","2","3 3
010
111
000","4","3 3
010
010
010","4","3 3
000
111
000","4","3 3
001
101
100","4","4 4
0100
1110
0000
0110","6"
"P-005-3","Wall-Break Shortest Route Checkpoint","Platinum","BFS","A grid cell marked 0 is open and 1 is blocked. You may turn one blocked cell into an open cell while walking, but may move only up, down, left, or right.","Print the fewest moves from the top-left cell to the bottom-right cell, using at most one wall break. Print -1 if unreachable. Report the defined result without extra text.","Line 1: R C.
Lines 2 through R+1: C characters 0 or 1 per row.","1 <= R,C <= 1000
start and target are open
use at most one wall break","1 1
0","0","1 1
0","0","2 2
00
00","2","2 2
01
10","2","3 3
010
111
000","4","3 3
010
010
010","4","3 3
000
111
000","4","3 3
001
101
100","4","4 4
0100
1110
0000
0110","6"
"P-005-4","Wall-Break Shortest Route Tracker","Platinum","BFS","A grid cell marked 0 is open and 1 is blocked. You may turn one blocked cell into an open cell while walking, but may move only up, down, left, or right.","Print the fewest moves from the top-left cell to the bottom-right cell, using at most one wall break. Print -1 if unreachable. Keep the required tie rule unchanged.","Line 1: R C.
Lines 2 through R+1: C characters 0 or 1 per row.","1 <= R,C <= 1000
start and target are open
use at most one wall break","1 1
0","0","1 1
0","0","2 2
00
00","2","2 2
01
10","2","3 3
010
111
000","4","3 3
010
010
010","4","3 3
000
111
000","4","3 3
001
101
100","4","4 4
0100
1110
0000
0110","6"
"P-005-5","Wall-Break Shortest Route Verifier","Platinum","BFS","A grid cell marked 0 is open and 1 is blocked. You may turn one blocked cell into an open cell while walking, but may move only up, down, left, or right.","Print the fewest moves from the top-left cell to the bottom-right cell, using at most one wall break. Print -1 if unreachable. Use the same input and output rules.","Line 1: R C.
Lines 2 through R+1: C characters 0 or 1 per row.","1 <= R,C <= 1000
start and target are open
use at most one wall break","1 1
0","0","1 1
0","0","2 2
00
00","2","2 2
01
10","2","3 3
010
111
000","4","3 3
010
010
010","4","3 3
000
111
000","4","3 3
001
101
100","4","4 4
0100
1110
0000
0110","6"
"P-006-1","Nearest Charger Grid","Platinum","Graphs / Grid BFS","You have a rectangular city grid. Cells are free '.' , chargers 'C', or impassable walls '#'. Time/distance is number of orthogonal steps. If a cell has a charger its distance is 0. Walls (and any cell that cannot be reached from any charger) are reported as -1.","For every cell output the minimum number of steps to reach any charger (0 for charger cells). Report -1 for walls or cells with no path from any charger. If multiple chargers reach a cell at the same distance, that distance is the answer.","Line 1: two integers R C (rows and columns)
Next R lines: each a string of length C with characters in {'.','#','C'}","1 ≤ R,C; R*C ≤ 300000. Grid only contains characters '.', '#', 'C'. Output R lines with C space-separated integers.","3 4
.C..
.##C
..C.
","1 0 1 1
2 -1 -1 0
2 1 0 1
","3 4
.C..
.##C
..C.
","1 0 1 1
2 -1 -1 0
2 1 0 1
","2 2
..
..
","-1 -1
-1 -1
","4 4
C...
....
..#.
...C
","0 1 2 3
1 2 3 2
2 3 -1 1
3 2 1 0
","1 1
C
","0
","1 3
CC.
","0 0 1
","2 2
##
##
","-1 -1
-1 -1
","3 3
C#.
###
.#C
","0 -1 -1
-1 -1 -1
-1 -1 0
","3 3
C.C
...
.C.
","0 1 0
1 1 1
0 1 0
"
"P-006-2","Rotting Fruit Minutes","Platinum","Graphs / Spread BFS","Each cell holds an item: 0 = empty (no item), 1 = fresh fruit, 2 = rotten fruit. Every minute, rotten fruits rot any orthogonally adjacent fresh fruits (but do not pass through empty cells).","Return the minimum minutes until no fresh fruits remain. If there are no fresh fruits initially return 0. If some fresh fruits can never be rotten (no initial rotten can reach them) return -1.","Line 1: two integers R C
Next R lines: C integers (0,1,2) separated by spaces","1 ≤ R,C; R*C ≤ 300000. Each grid value is 0,1,2. Output a single integer.","3 3
2 1 1
1 1 0
0 1 1
","4
","3 3
2 1 1
1 1 0
0 1 1
","4
","2 2
1 1
1 1
","-1
","2 2
0 0
0 2
","0
","1 4
2 2 2 2
","0
","3 3
2 1 0
0 1 1
1 0 1
","-1
","1 1
1
","-1
","1 5
1 1 1 1 2
","4
","2 3
0 0 0
0 0 0
","0
"
"P-006-3","Fire Spread Times on a Graph","Platinum","Graphs / Multi-source BFS","An unweighted undirected graph of N nodes. Fire starts at several source nodes simultaneously. Every minute a burning node spreads fire to all its neighbors. If a node never receives fire it is considered SAFE.","For each node 1..N output the earliest minute it burns (0 for source nodes), or the word SAFE if unreachable from every source. If the source list contains duplicates treat them as a single start (time 0).","Line 1: two integers N M
Next M lines: two integers u v (1-based edge endpoints)
Next line: integer S (number of sources)
Next line: S integers (source node indices)
","1 ≤ N ≤ 300000, 0 ≤ M ≤ 300000. 1 ≤ u,v ≤ N. 0 ≤ S ≤ N. Graph edges are undirected, no weights. Output N lines each either an integer ≥0 or the exact token SAFE.","5 4
1 2
2 3
3 4
2 5
2
2 4
","1
0
1
0
1
","5 4
1 2
2 3
3 4
2 5
2
2 4
","1
0
1
0
1
","4 0

1
3
","SAFE
SAFE
0
SAFE
","6 4
1 2
2 3
4 5
5 6
3
1 1 3
","0
1
0
SAFE
SAFE
SAFE
","3 3
1 2
2 3
3 1
2
1 2
","0
0
1
","1 0

0

","SAFE
","7 6
1 2
2 3
3 4
4 5
5 6
6 7
1
4
","3
2
1
0
1
2
3
","5 3
1 2
2 3
4 5
2
3 5
","2
1
0
1
0
","4 2
1 2
3 4
1
2
","1
0
SAFE
SAFE
"
"P-006-4","Last Flooded Cells","Platinum","Grid BFS / Spread","Given a grid with water sources 'W', empty '.' and impassable obstacles 'X'. Each minute water spreads orthogonally to neighboring empty cells (not into obstacles). Water sources are already flooded at time 0.","If every empty cell is reachable from at least one water source, output two integers T K on the first line where T is the maximum minute any empty cell becomes flooded and K is the number of cells that achieve minute T. Then output K lines with 1-based row and column of each such cell, sorted lexicographically by row then column. If there are zero empty cells output ""0 0"" and no further lines. If some empty cell is not reachable from any water source print exactly the line IMPOSSIBLE.","Line 1: two integers R C
Next R lines: each a string of length C using characters {'.','X','W'}","1 ≤ R,C; R*C ≤ 300000. Water spreads only into '.' cells. Output described above exactly.","3 3
...
.W.
...
","2 4
1 1
1 3
3 1
3 3
","3 3
...
.W.
...
","2 4
1 1
1 3
3 1
3 3
","3 3
W X .
X X .
. . .
","IMPOSSIBLE
","2 2
W W
W W
","0 0
","5 1
W
.
.
.
W
","2 1
3 1
","3 3
W..
...
..W
","2 3
1 3
2 2
3 1
","3 4
W..X
..X.
W..X
","2 2
1 3
3 3
","1 3
W.W
","1 1
1 2
","3 3
WXX
XXX
XXW
","IMPOSSIBLE
"
"P-006-5","Nearest Hospital Queries","Platinum","Graphs / Multi-source BFS / Queries","An undirected unweighted city road graph. Some nodes host hospitals. For many query nodes you must report distance (number of edges) to the nearest hospital (0 if the node itself is a hospital). If no hospital is reachable report -1.","Given the graph, hospital set, and a list of query nodes, output one integer per query: minimum distance to any hospital, or -1 if unreachable. Sources (hospital nodes) are simultaneous multi-source starts.","Line 1: two integers N M
Next M lines: u v edges (1-based)
Next line: integer H
Next line: H integers (hospital node indices)
Next line: integer Q
Next line: Q integers (query node indices)
","1 ≤ N ≤ 300000, 0 ≤ M ≤ 300000. 0 ≤ H ≤ N. 1 ≤ Q ≤ 300000. Output Q lines each an integer ≥0 or -1.","5 4
1 2
2 3
3 4
2 5
2
2 4
3
1 5 4
","1
1
0
","5 4
1 2
2 3
3 4
2 5
2
2 4
3
1 5 4
","1
1
0
","4 2
1 2
3 4
0

3
1 2 3
","-1
-1
-1
","3 2
1 2
2 3
1
2
3
2 3 1
","1
0
1
","6 5
1 2
2 3
3 4
4 5
5 6
2
1 6
4
3 4 5 1
","2
3
1
0
","4 2
1 2
2 3
1
2
4
1 2 3 4
","1
0
1
-1
","1 0

1
1
2
1 1
","0
0
","5 3
1 2
2 3
4 5
2
3 4
5
5 4 3 2 1
","2
1
0
1
2
","7 6
1 2
2 3
3 4
4 5
5 6
6 7
1
4
3
1 4 7
","3
0
3
"
