"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output"
"B-003-1","Negate the Segment","Bronze","Arrays","A segment is a run of consecutive positions described by a start L and an end R. Both endpoints are included, so the segment [2, 4] covers positions 2, 3 and 4. Negating a number flips its sign, turning 5 into -5 and -5 into 5.","Read N integers and negate every element inside the inclusive segment [L, R]. Print the resulting array in order.","Line 1: N, L, R (space-separated).
Line 2: N space-separated integers.","N: 1-100
L, R: 1-based, with 1 <= L <= R <= N
values: -10000 to 10000","5 2 4
1 2 3 4 5","1 -2 -3 -4 5","5 2 4
1 2 3 4 5","1 -2 -3 -4 5","1 1 1
7","-7","4 1 4
1 -2 3 -4","-1 2 -3 4","6 3 3
1 2 3 4 5 6","1 2 -3 4 5 6","5 1 1
-5 1 2 3 4","5 1 2 3 4","5 5 5
1 2 3 4 -5","1 2 3 4 5","8 2 7
0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0","7 4 6
-1 2 -3 4 -5 6 -7","-1 2 -3 -4 5 -6 -7"
"B-003-2","Reverse a Substring","Bronze","Strings","A substring is a stretch of consecutive characters inside a longer word, marked here by a start position L and an end position R with both ends included. Only that stretch is flipped back to front; every character outside it stays untouched. In 'abcde', reversing positions 2 to 4 gives 'adcbe'.","Read a lowercase string and two positions L and R. Reverse the substring covering positions L through R (inclusive) and print the modified string.","Line 1: the string S (lowercase letters only).
Line 2: L, R (space-separated).","length of S: 1-100
L, R: 1-based, with 1 <= L <= R <= length of S","abcde
2 4","adcbe","abcde
2 4","adcbe","a
1 1","a","abcd
1 4","dcba","hello
1 1","hello","hello
5 5","hello","abcdef
3 4","abdcef","aaaa
1 4","aaaa","byteblitz
2 8","btilbetyz"
"B-003-3","Overwrite then Total","Bronze","Arrays","Every position from L to R (both included) is overwritten with the same value V, wiping out whatever was there before. Afterwards the whole array is added up. Overwriting positions 2 to 3 of [1, 2, 3, 4] with 0 leaves [1, 0, 0, 4], which totals 5.","Read N integers, replace every element in the inclusive segment [L, R] with V, then print the sum of the whole array.","Line 1: N, L, R, V (space-separated).
Line 2: N space-separated integers.","N: 1-100
L, R: 1-based, with 1 <= L <= R <= N
V: -10000 to 10000
values: -10000 to 10000","5 2 4 0
1 2 3 4 5","6","5 2 4 0
1 2 3 4 5","6","1 1 1 9
-9","9","4 1 4 1
100 200 300 400","4","6 3 3 -5
1 1 1 1 1 1","0","5 1 5 0
1 2 3 4 5","0","3 2 3 7
-7 -7 -7","7","8 5 8 2
1 2 3 4 5 6 7 8","18","4 1 2 -10000
10000 10000 10000 10000","0"
"B-003-4","Flip and Count Ones","Bronze","Arrays","A binary array holds only 0s and 1s. Flipping a bit swaps it to the other value: 0 becomes 1 and 1 becomes 0. Only bits inside the inclusive window [L, R] are flipped, then the total number of 1s left in the whole array is reported.","Read N bits and flip every bit in the inclusive segment [L, R]. Print how many 1s the array contains afterwards.","Line 1: N, L, R (space-separated).
Line 2: N space-separated bits, each 0 or 1.","N: 1-100
L, R: 1-based, with 1 <= L <= R <= N
bits: 0 or 1","5 2 4
1 0 0 1 1","4","5 2 4
1 0 0 1 1","4","1 1 1
0","1","1 1 1
1","0","6 1 6
1 1 1 1 1 1","0","6 1 6
0 0 0 0 0 0","6","4 2 3
1 0 1 0","2","8 3 5
0 1 0 1 0 1 0 1","5","7 7 7
1 1 1 1 1 1 0","7"
"B-003-5","Zero Out and Report","Bronze","Arrays","Every position from L to R (both included) is set to 0. An entry only counts as changed if it was something other than 0 to begin with, since setting a 0 to 0 changes nothing. Zeroing positions 1 to 3 of [0, 4, 0] changes just one entry.","Read N integers and set every element in the inclusive segment [L, R] to 0. Print how many array entries actually changed value.","Line 1: N, L, R (space-separated).
Line 2: N space-separated integers.","N: 1-100
L, R: 1-based, with 1 <= L <= R <= N
values: -10000 to 10000","5 2 4
1 0 3 0 5","1","5 2 4
1 0 3 0 5","1","1 1 1
0","0","1 1 1
-7","1","6 1 6
0 0 0 0 0 0","0","6 1 6
1 2 3 4 5 6","6","4 2 3
5 0 0 5","0","8 5 8
1 1 1 1 0 1 0 1","2","7 3 3
-1 -2 -3 -4 -5 -6 -7","1"
"B-004-1","Above the Bar","Bronze","Conditionals","Filtering keeps only the entries that pass a test and discards the rest, without reordering anything that survives. Here the test is 'strictly greater than T', so a score exactly equal to T does not pass. If nothing passes, the output line is simply empty.","Read N scores and print only those strictly greater than T, in their original order. If no score qualifies, print an empty line.","Line 1: N, T (space-separated).
Line 2: N space-separated integers.","N: 1-100
T: -10000 to 10000
scores: -10000 to 10000","5 50
30 70 50 90 10","70 90","5 50
30 70 50 90 10","70 90","1 0
0","","1 0
1","1","4 100
10 20 30 40","","4 -1
0 -5 3 -1","0 3","6 5
6 7 8 9 10 11","6 7 8 9 10 11","8 0
-1 1 -2 2 -3 3 0 0","1 2 3","3 10000
10000 9999 -10000",""
"B-004-2","Even IDs Only","Bronze","Conditionals","A number is even when dividing it by 2 leaves no remainder, so 4 and 100 are even while 7 is not. The surviving IDs must stay in the order they arrived. If none of them are even, the output line is empty.","Read N positive integer IDs and print only the even ones, preserving the original order. If there are no even IDs, print an empty line.","Line 1: N.
Line 2: N space-separated positive integers.","N: 1-100
IDs: 1-10000","5
11 12 13 14 15","12 14","5
11 12 13 14 15","12 14","1
2","2","1
3","","4
1 3 5 7","","4
2 4 6 8","2 4 6 8","6
10000 9999 1 2 3 4","10000 2 4","8
100 101 102 103 104 105 106 107","100 102 104 106","3
7 7 8","8"
"B-004-3","Divisible Survivors","Bronze","Conditionals","A number is divisible by K when dividing it by K leaves a remainder of exactly zero. Note that 0 is divisible by every K, since 0 divided by anything leaves no remainder. Order is preserved among the numbers that pass.","Read N integers and print those divisible by K, in their original order. If none are divisible, print an empty line.","Line 1: N, K (space-separated).
Line 2: N space-separated integers.","N: 1-100
K: 1-1000
values: -10000 to 10000","6 3
3 4 9 10 12 13","3 9 12","6 3
3 4 9 10 12 13","3 9 12","1 1
7","7","1 5
7","","4 2
1 3 5 7","","5 4
0 -4 4 -8 3","0 -4 4 -8","3 1000
1000 -1000 999","1000 -1000","8 7
7 14 21 28 35 42 49 50","7 14 21 28 35 42 49","4 6
-6 -12 5 0","-6 -12 0"
"B-004-4","Pick the Category","Bronze","Conditionals","Each item carries a label saying which category it belongs to. Only items whose label matches the requested category exactly are kept, and matching is case-sensitive so 'Fruit' and 'fruit' are different labels. Kept items appear in the order they were listed.","Read N item/category pairs and a target category C. Print the item names whose category equals C, preserving input order. If no item matches, print an empty line.","Line 1: N.
Next N lines: item_name and category, separated by a space.
Last line: the target category C.","N: 1-100
names and categories: 1-20 letters, case-sensitive, no spaces","5
apple fruit
carrot veg
banana fruit
potato veg
cherry fruit
fruit","apple banana cherry","5
apple fruit
carrot veg
banana fruit
potato veg
cherry fruit
fruit","apple banana cherry","1
rock mineral
mineral","rock","1
rock mineral
plant","","3
a x
b y
c z
w","","4
p q
r q
s q
t q
q","p r s t","4
Apple fruit
apple Fruit
APPLE FRUIT
banana fruit
fruit","Apple banana","6
n1 c1
n2 c2
n3 c1
n4 c3
n5 c1
n6 c2
c1","n1 n3 n5","2
solo only
duo other
other","duo"
"B-004-5","Vowel Starters","Bronze","Conditionals","The vowels are a, e, i, o and u. Only the very first letter of each word is examined, and the check ignores capitalisation so 'Apple' and 'apple' both start with a vowel. The letter y is not treated as a vowel here.","Read N words and print only those starting with a vowel (a, e, i, o, u; case-insensitive), keeping their original order. If none start with a vowel, print an empty line.","Line 1: N.
Line 2: N space-separated words.","N: 1-100
words: 1-20 English letters, may be upper or lower case","5
apple banana orange kiwi egg","apple orange egg","5
apple banana orange kiwi egg","apple orange egg","1
ice","ice","1
sky","","4
dog cat fish bird","","4
Eagle Igloo Umbrella Owl","Eagle Igloo Umbrella Owl","6
yellow yak eel oak up you","eel oak up","8
a b c d e f g h","a e","3
Aaa zzz Eee","Aaa Eee"
"B-005-1","Count the Runs","Bronze","Loops","A run is a maximal block of neighbouring items that are all identical. The sequence [1, 1, 2, 2, 2, 1] contains three runs: two 1s, then three 2s, then a single 1. Note the last run counts even though the same value appeared earlier, because runs are about adjacency.","Read N integers and print the number of runs, where a run is a maximal block of consecutive equal values.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
values: -10000 to 10000","6
1 1 2 2 2 1","3","6
1 1 2 2 2 1","3","1
5","1","2
4 4","1","2
4 5","2","5
7 7 7 7 7","1","5
1 2 3 4 5","5","8
0 0 -1 -1 0 0 -1 -1","4","7
9 9 9 1 9 9 9","3"
"B-005-2","Spell Out the Runs","Bronze","Strings","Run-length encoding rewrites a word by naming each block of repeated letters once, followed by how many times it repeats. The word 'aab' becomes 'a 2 b 1'. Blocks are read strictly left to right, and a letter that reappears later starts a brand new block.","Read a lowercase string and print its run-length encoding as 'letter count' pairs separated by single spaces, in left-to-right order.","Line 1: the string S (lowercase letters only).","length of S: 1-100","aab","a 2 b 1","aab","a 2 b 1","a","a 1","aaaa","a 4","abcd","a 1 b 1 c 1 d 1","aabbaa","a 2 b 2 a 2","zzzzzzzzzy","z 9 y 1","ababab","a 1 b 1 a 1 b 1 a 1 b 1","byteblitz","b 1 y 1 t 1 e 1 b 1 l 1 i 1 t 1 z 1"
"B-005-3","Longest Colour Streak","Bronze","Strings","A streak is a block of neighbouring tiles sharing the same colour. The goal is the single longest such block. If two different streaks are tied at the same maximum length, the one that starts earliest (furthest left) wins.","Read N colour names describing a strip and print the colour of the longest consecutive run followed by that run's length, separated by a space. If several runs tie, choose the leftmost.","Line 1: N.
Line 2: N space-separated colour names.","N: 1-100
colour names: 1-15 lowercase letters","7
red red blue blue blue green green","blue 3","7
red red blue blue blue green green","blue 3","1
red","red 1","3
red blue green","red 1","4
red red blue blue","red 2","5
blue blue blue blue blue","blue 5","6
red blue blue red red red","red 3","8
a a b b b a a a","b 3","5
green red red green green","red 2"
"B-005-4","Compress the Bits","Bronze","Strings","A binary string is squeezed into segments written as value:length, listing each block of identical bits once. The string '0011100' compresses to '0:2,1:3,0:2'. Segments are joined by commas with no spaces anywhere in the output.","Read a binary string and print its compression as segments 'v:l' joined by commas with no spaces, in left-to-right order.","Line 1: the binary string B (characters 0 and 1 only).","length of B: 1-100","0011100","0:2,1:3,0:2","0011100","0:2,1:3,0:2","0","0:1","1","1:1","0000","0:4","0101","0:1,1:1,0:1,1:1","1110000011","1:3,0:5,1:2","1111111110","1:9,0:1","0110","0:1,1:2,0:1"
"B-005-5","Bracketed Encoding","Bronze","Loops","Each block of repeated values is written as a bracketed pair holding the value and the block length, like (7,3) for three consecutive 7s. There are no spaces inside a pair, and pairs are separated by exactly one space.","Read N non-negative integers and print their run-length encoding as pairs written (v,L), with no spaces inside a pair and a single space between pairs.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
values: 0-9","6
7 7 7 1 1 3","(7,3) (1,2) (3,1)","6
7 7 7 1 1 3","(7,3) (1,2) (3,1)","1
0","(0,1)","4
5 5 5 5","(5,4)","4
1 2 3 4","(1,1) (2,1) (3,1) (4,1)","8
0 0 1 1 0 0 1 1","(0,2) (1,2) (0,2) (1,2)","5
9 9 9 9 9","(9,5)","7
2 2 3 3 3 2 2","(2,2) (3,3) (2,2)","3
0 1 0","(0,1) (1,1) (0,1)"
"B-006-1","Odd Gets A, Even Gets B","Bronze","Loops","Positions are counted starting at 1, so the 1st, 3rd and 5th slots are odd and the 2nd, 4th and 6th are even. This depends purely on where a number sits, not on whether the number itself is odd or even. Every odd slot gains A and every even slot gains B.","Read N integers. Add A to every element at an odd position and B to every element at an even position. Print the resulting array.","Line 1: N, A, B (space-separated).
Line 2: N space-separated integers.","N: 1-100
A, B: -1000 to 1000
positions are 1-based
values: -10000 to 10000","5 10 -10
1 2 3 4 5","11 -8 13 -6 15","5 10 -10
1 2 3 4 5","11 -8 13 -6 15","1 5 99
0","5","2 0 0
7 8","7 8","4 1 1
0 0 0 0","1 1 1 1","6 -1 1
1 1 1 1 1 1","0 2 0 2 0 2","3 1000 -1000
0 0 0","1000 -1000 1000","8 2 3
-1 -2 -3 -4 -5 -6 -7 -8","1 1 -1 -1 -3 -3 -5 -5","7 0 5
1 1 1 1 1 1 1","1 6 1 6 1 6 1"
"B-006-2","Zigzag Case","Bronze","Strings","Positions here start at 0, so the very first character sits at position 0 which is even. Even positions are forced to uppercase and odd positions to lowercase, regardless of how the letter was originally typed. 'hello' becomes 'HeLlO'.","Read a string of letters. Convert characters at even positions to uppercase and characters at odd positions to lowercase. Print the transformed string.","Line 1: the string S (English letters only).","length of S: 1-100
positions are 0-based","hello","HeLlO","hello","HeLlO","a","A","Z","Z","AAAA","AaAa","abcdef","AbCdEf","ByTeBlItZ","ByTeBlItZ","xyzXYZ","XyZxYz","aB","Ab"
"B-006-3","Alternating Total","Bronze","Loops","Positions start at 1. Everything sitting at an odd position is added and everything at an even position is subtracted, giving a single running total. For [5, 3, 2] the result is 5 - 3 + 2, which is 4.","Read N integers and print the alternating sum: the total of elements at odd positions minus the total of elements at even positions.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
positions are 1-based
values: -10000 to 10000","3
5 3 2","4","3
5 3 2","4","1
7","7","2
7 7","0","4
1 1 1 1","0","6
-1 -1 -1 -1 -1 -1","0","5
10000 10000 10000 10000 10000","10000","8
1 2 3 4 5 6 7 8","-4","7
0 0 0 0 0 0 -5","-5"
"B-006-4","Flip Every Other Word","Bronze","Strings","Word positions start at 0, so the first word sits at position 0 which is even and is left alone. Words at odd positions have their letters written back to front. The words themselves never change places, only their internal spelling.","Read N words. Reverse the letters of each word at an odd position (0-based) and leave words at even positions unchanged. Print the words in order.","Line 1: N.
Line 2: N space-separated words.","N: 1-100
positions are 0-based
words: 1-20 lowercase letters","4
abc def ghi jkl","abc fed ghi lkj","4
abc def ghi jkl","abc fed ghi lkj","1
solo","solo","2
one two","one owt","3
racecar level noon","racecar level noon","5
a bb ccc dddd eeeee","a bb ccc dddd eeeee","6
red blue green yellow black white","red eulb green wolley black etihw","8
x yz x yz x yz x yz","x zy x zy x zy x zy","7
alpha beta gamma delta epsilon zeta eta","alpha ateb gamma atled epsilon atez eta"
"B-006-5","Square the Odds, Cube the Evens","Bronze","Loops","Positions start at 1. Squaring means multiplying a number by itself once (3 squared is 9) and cubing means multiplying it by itself twice (3 cubed is 27). Squares are never negative, but cubes keep the sign of the original number: -2 cubed is -8.","Read N integers. Replace each element at an odd position with its square and each element at an even position with its cube. Print the updated array.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
positions are 1-based
values: -100 to 100","5
1 2 3 4 5","1 8 9 64 25","5
1 2 3 4 5","1 8 9 64 25","1
-3","9","2
-2 -2","4 -8","4
0 0 0 0","0 0 0 0","6
-1 -1 -1 -1 -1 -1","1 -1 1 -1 1 -1","3
100 100 100","10000 1000000 10000","8
1 -1 2 -2 3 -3 4 -4","1 -1 4 -8 9 -27 16 -64","7
2 2 2 2 2 2 2","4 8 4 8 4 8 4"
"B-007-1","Coldest Day","Bronze","Arrays","Scanning for a minimum means tracking the smallest value seen so far. A witness is the extra detail reported alongside it, here the position where it lives. If the same low reading occurs more than once, the earliest one wins, so positions are compared as a tie-breaker.","Read N daily temperatures. Print the minimum temperature followed by the 1-based index of its first occurrence, separated by a space.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
temperatures: -1000 to 1000","5
12 7 19 7 20","7 2","5
12 7 19 7 20","7 2","1
0","0 1","3
5 5 5","5 1","4
-1 -2 -3 -4","-4 4","4
-4 -3 -2 -1","-4 1","6
1000 -1000 1000 -1000 0 0","-1000 2","8
3 1 4 1 5 9 2 6","1 2","7
0 0 0 -1 0 0 -1","-1 4"
"B-007-2","Last Peak Price","Bronze","Arrays","The maximum is the largest value in the list. When that same peak value shows up several times, the required answer is the latest position where it appears, not the first. Positions are counted starting at 1.","Read N stock prices in chronological order. Print the 1-based index of the LAST occurrence of the maximum price. Output the index only.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
prices: 0-100000","5
10 40 25 40 30","4","5
10 40 25 40 30","4","1
7","1","3
5 5 5","3","4
1 2 3 4","4","4
4 3 2 1","1","6
0 0 0 0 0 0","6","8
100000 1 100000 1 100000 1 1 1","5","7
3 9 9 2 9 1 0","5"
"B-007-3","Top Score","Bronze","Arrays","The highest score is simply the largest number in the list. Because only the value is reported and not who achieved it, ties make no difference to the answer: several contestants sharing the top score still produce the same single number.","Read N contest scores and print the highest score value.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
scores: -1000 to 1000","5
45 92 92 17 60","92","5
45 92 92 17 60","92","1
-1000","-1000","3
0 0 0","0","4
-5 -4 -3 -2","-2","4
1000 999 998 997","1000","6
-1 -2 -3 -4 -5 -6","-1","8
1 2 3 4 5 6 7 8","8","7
7 7 7 7 7 7 7","7"
"B-007-4","Latest Low Reading","Bronze","Arrays","Indices here start at 0, so the first sensor reading sits at index 0. The task looks for the smallest reading, and when that value repeats it reports the greatest index holding it rather than the first. The index is printed before the reading itself.","Read N sensor readings. Print the 0-based index of the LAST occurrence of the minimum reading, followed by that minimum reading, separated by a space.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
indices are 0-based
readings: -1000 to 1000","5
8 3 9 3 6","3 3","5
8 3 9 3 6","3 3","1
42","0 42","3
5 5 5","2 5","4
1 2 3 4","0 1","4
4 3 2 1","3 1","6
-1000 0 -1000 0 -1000 0","4 -1000","8
2 2 1 3 1 4 1 5","6 1","7
0 0 0 0 0 0 0","6 0"
"B-007-5","Highest Point on the Trail","Bronze","Arrays","The maximum is the largest elevation recorded. The position reported alongside it is counted starting at 1. When the same peak elevation is measured more than once, the earliest position is the one that is reported.","Read N elevation measurements. Print the maximum elevation followed by the 1-based position of its first occurrence, separated by a space.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
elevations: -1000 to 10000","5
120 340 340 90 200","340 2","5
120 340 340 90 200","340 2","1
-1000","-1000 1","3
7 7 7","7 1","4
1 2 3 4","4 4","4
4 3 2 1","4 1","6
0 0 0 0 0 0","0 1","8
10000 5 10000 5 10000 5 5 5","10000 1","7
-5 -4 -3 -2 -1 -2 -3","-1 5"
"B-008-1","Count the Rich Accounts","Bronze","Loops","Counting means reporting how many entries pass a test, not the entries themselves. The test here is 'strictly greater than T', so a balance exactly equal to T is not counted. If nothing passes, the answer is 0.","Read N account balances and print how many of them are strictly greater than T.","Line 1: N, T (space-separated).
Line 2: N space-separated integers.","N: 1-100
T: -10000 to 10000
balances: -10000 to 10000","5 100
50 150 100 200 99","2","5 100
50 150 100 200 99","2","1 0
0","0","1 0
1","1","4 10000
1 2 3 4","0","4 -10000
1 2 3 4","4","6 0
-1 0 1 -2 0 2","2","8 5
5 5 5 5 5 5 5 5","0","3 -1
-1 -2 0","1"
"B-008-2","Count the Odd Days","Bronze","Loops","A number is odd when dividing it by 2 leaves a remainder of 1. Negative numbers can be odd too: -3 is odd because it is not evenly divisible by 2. Zero is even, so it is never counted.","Read N daily step counts and print how many of them are odd numbers.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
step counts: -10000 to 10000","5
1001 2000 333 4444 5","3","5
1001 2000 333 4444 5","3","1
0","0","1
-1","1","4
2 4 6 8","0","4
1 3 5 7","4","6
-1 -2 -3 -4 -5 -6","3","8
0 0 0 0 0 0 0 1","1","3
10000 9999 -9999","2"
