"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output","test9_input","test9_output","test10_input","test10_output","test11_input","test11_output","test12_input","test12_output"
"M-003-1","All-Even Character Substrings","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Follow the stated tie rule.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4","aaa","2","ccabb","2","aacaaac","4","bac","0"
"M-003-2","All-Even Character Substrings Planner","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Print only the requested result.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4","bca","0","bbcab","1","acbabcc","2","acbcb","1"
"M-003-3","All-Even Character Substrings Checkpoint","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Treat every input independently.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4","aaa","2","abaab","2","cbcbbca","3","bab","0"
"M-003-4","All-Even Character Substrings Tracker","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Keep the format unchanged.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4","acc","1","baaaa","4","abaacaa","2","c","0"
"M-003-5","All-Even Character Substrings Verifier","Master","Parity Masks","A substring is consecutive. A character has even count when it appears 0, 2, 4, and so on times inside the substring.","Count non-empty substrings in which every character count is even. Use the same definition throughout.","Line 1: lowercase string S.","1 <= |S| <= 200000
S uses lowercase English letters","a","0","a","0","aa","1","ab","0","abba","2","abcabc","1","aaaa","4","abca","0","abcddcba","4","c","0","cbb","1","abaab","2","bccbbac","4"
"M-004-1","Subarray AND Nearest Target","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Follow the stated tie rule.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5","1 8
9","9","2 14
9 8","9","3 3
2 5 15","2","5 13
13 13 1 9 1","13"
"M-004-2","Subarray AND Nearest Target Planner","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Print only the requested result.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5","1 10
11","11","2 0
15 12","12","3 9
6 4 8","8","5 3
3 9 2 11 11","3"
"M-004-3","Subarray AND Nearest Target Checkpoint","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Treat every input independently.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5","1 12
2","2","2 4
10 11","10","3 15
15 5 5","15","5 13
10 0 5 2 10","10"
"M-004-4","Subarray AND Nearest Target Tracker","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Keep the format unchanged.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5","1 12
4","4","2 4
4 6","4","3 12
0 0 5","5","5 0
6 3 12 10 3","0"
"M-004-5","Subarray AND Nearest Target Verifier","Master","Bit Manipulation","Bitwise AND keeps a bit only when every value has that bit. Compare closeness by absolute numeric difference; choose the smaller AND value on ties.","Print the subarray AND value closest to T. Use the same definition throughout.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 2^30-1","1 1
1","1","1 1
1","1","3 3
1 2 4","2","3 2
7 3 5","1","2 1
0 0","0","3 8
12 10 6","8","3 5
15 7 3","3","3 1
8 4 2","0","3 6
5 1 7","5","1 7
10","10","2 14
0 9","9","3 0
15 1 11","1","5 1
15 2 13 8 6","0"
"M-005-1","Power Contribution Count","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Follow the stated tie rule.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10","9","2","508","7","755353381207","25","4","1"
"M-005-2","Power Contribution Count Planner","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Print only the requested result.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10","4194","4","839944779510","20","6","2","1457","6"
"M-005-3","Power Contribution Count Checkpoint","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Treat every input independently.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10","1790","9","895064358690","22","9934","8","804794800364","18"
"M-005-4","Power Contribution Count Tracker","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Keep the format unchanged.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10","5","2","5895","7","451484609197","20","9","2"
"M-005-5","Power Contribution Count Verifier","Master","Bit Manipulation","Every nonnegative integer is a sum of powers of two. Its binary popcount is the number of 1 bits in that representation.","Print the minimum number of power-of-two contributions needed to make N. Use the same definition throughout.","Line 1: N.","0 <= N <= 10^18","0","0","0","0","1","1","2","1","3","2","7","3","8","1","15","4","1023","10","9071","9","103279908668","20","9","2","2559","10"
"M-006-1","GCD Target Reachability","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Follow the stated tie rule.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES","1 16
18","NO","2 13
20 14","NO","3 30
19 25 2","YES","5 32
28 12 16 28 20","YES"
"M-006-2","GCD Target Reachability Planner","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Print only the requested result.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES","1 28
30","NO","2 16
5 5","NO","3 22
25 27 2","YES","5 13
28 0 26 3 0","YES"
"M-006-3","GCD Target Reachability Checkpoint","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Treat every input independently.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES","1 16
13","NO","2 9
3 13","YES","3 6
18 28 24","YES","5 15
14 1 11 4 23","YES"
"M-006-4","GCD Target Reachability Tracker","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Keep the format unchanged.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES","1 7
9","NO","2 40
24 10","YES","3 40
12 25 13","YES","5 37
19 30 25 10 5","YES"
"M-006-5","GCD Target Reachability Verifier","Master","Number Theory","The gcd is the greatest positive number dividing every listed value. A target is reachable exactly when the collection gcd divides it; zero is reachable only from an all-zero collection.","Print YES if target T is reachable, otherwise NO. Use the same definition throughout.","Line 1: N T.
Line 2: N non-negative integers.","1 <= N <= 200000
values and T: 0 to 10^9","3 2
6 10 14","YES","3 2
6 10 14","YES","3 3
6 10 14","NO","3 20
5 10 15","YES","2 0
0 0","YES","1 14
7","YES","2 6
12 18","YES","2 5
12 18","NO","3 3
9 15 21","YES","1 11
16","NO","2 28
29 19","YES","3 33
26 3 10","YES","5 24
0 9 2 23 19","YES"
"M-007-1","Common Repeating Unit","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Follow the stated tie rule.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","A","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC","AAA
CBCC","NONE","B
BB","B","AA
CA","NONE","ABABAB
ABABAB","AB"
"M-007-2","Common Repeating Unit Planner","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Print only the requested result.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","A","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC","AAA
CA","NONE","CC
C","C","AB
ACCA","NONE","BBB
B","B"
"M-007-3","Common Repeating Unit Checkpoint","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Treat every input independently.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","A","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC","CABCABCAB
CC","NONE","AA
AAAAAA","A","BBB
BAA","NONE","BB
BB","B"
"M-007-4","Common Repeating Unit Tracker","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Keep the format unchanged.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","A","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC","CB
B","NONE","BB
BBB","B","CCC
BB","NONE","BBBBBB
BBBBBB","B"
"M-007-5","Common Repeating Unit Verifier","Master","Strings","Two strings share a repeating unit when both can be made by repeating the same shortest base string.","Print that shortest common unit, or NONE if no unit exists. Use the same definition throughout.","Line 1: string A.
Line 2: string B.","1 <= lengths <= 200000
uppercase English letters","A
A","A","A
A","A","ABAB
AB","AB","ABCABC
ABC","ABC","LEET
CODE","NONE","AAAA
AA","A","XYZXYZ
XYZXYZXYZ","XYZ","AB
ABABAB","AB","ABC
ABCABC","ABC","ACAC
BCC","NONE","BCBBCB
BCB","BCB","AAC
CBBB","NONE","ABCABCABC
ABCABCABC","ABC"
"M-008-1","Digit One Occurrence Count","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Follow the stated tie rule.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173","8","1","76","18","990","299","11193","5822"
"M-008-2","Digit One Occurrence Count Planner","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Print only the requested result.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173","2","1","66","17","693","240","7997","3400"
"M-008-3","Digit One Occurrence Count Checkpoint","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Treat every input independently.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173","8","1","44","15","899","280","10011","4016"
"M-008-4","Digit One Occurrence Count Tracker","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Keep the format unchanged.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173","3","1","118","50","19845","17821","13","6"
"M-008-5","Digit One Occurrence Count Verifier","Master","Number Theory","Write every positive integer from 1 through N in decimal. Count each written digit 1, including repeated appearances in one number.","Print the total number of written digit 1 characters. Use the same definition throughout.","Line 1: N.","1 <= N <= 10^12","1","1","1","1","9","1","10","2","11","4","25","13","99","20","100","21","321","173","26","13","359","176","14230","10584","7","1"
"M-009-1","Coprime Remainder Construction","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Follow the stated tie rule.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23","1
1 2","1","2
1 5
0 11","11","2
1 5
1 3","1","3
1 2
9 11
0 3","9"
"M-009-2","Coprime Remainder Construction Planner","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Print only the requested result.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23","1
1 3","1","2
0 2
8 11","8","2
4 11
0 3","15","3
6 11
0 3
5 7","138"
"M-009-3","Coprime Remainder Construction Checkpoint","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Treat every input independently.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23","1
1 3","1","2
3 7
0 2","10","2
7 11
0 3","18","3
1 2
3 5
0 7","63"
"M-009-4","Coprime Remainder Construction Tracker","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Keep the format unchanged.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23","1
3 7","3","2
0 2
3 7","10","2
8 11
0 2","8","3
3 5
1 2
3 11","3"
"M-009-5","Coprime Remainder Construction Verifier","Master","Number Theory","A congruence x mod m = r means x leaves remainder r after division by m. All moduli in this task are pairwise coprime.","Print the smallest nonnegative x satisfying every congruence. Use the same definition throughout.","Line 1: K.
Next K lines: remainder modulus.","1 <= K <= 6
moduli are pairwise coprime
product fits signed 64-bit","1
0 2","0","1
0 2","0","2
1 2
2 3","5","2
2 3
3 5","8","2
1 2
1 5","1","3
2 3
3 5
2 7","23","2
0 5
2 3","5","2
4 5
1 7","29","3
1 2
2 3
3 5","23","1
2 3","2","2
2 3
4 7","11","2
2 7
1 5","16","3
3 11
1 7
1 2","113"
"M-010-1","Coprime Pair Count","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Follow the stated tie rule.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1","1
15","0","2
8 23","1","3
18 27 9","0","5
30 30 13 21 26","4"
"M-010-2","Coprime Pair Count Planner","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Print only the requested result.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1","1
20","0","2
22 17","1","3
12 2 21","1","5
10 5 19 29 24","8"
"M-010-3","Coprime Pair Count Checkpoint","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Treat every input independently.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1","1
25","0","2
13 3","1","3
27 12 10","1","5
28 6 26 9 12","2"
"M-010-4","Coprime Pair Count Tracker","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Keep the format unchanged.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1","1
11","0","2
9 10","1","3
15 25 13","2","5
15 15 7 30 15","4"
"M-010-5","Coprime Pair Count Verifier","Master","Number Theory","A pair is coprime when its greatest common divisor is 1. Values at different positions form different pairs even if they are equal.","Count unordered coprime pairs. Use the same definition throughout.","Line 1: N.
Line 2: N positive integers.","1 <= N <= 5000
values: 1 to 10^6","1
1","0","1
1","0","2
2 3","1","2
2 4","0","3
2 3 4","2","3
6 10 15","0","3
1 1 1","3","4
5 7 11 13","6","3
6 35 10","1","1
10","0","2
18 12","0","3
22 16 27","2","5
9 27 13 29 14","9"
"M-011-1","Safe Circular Balance Start","Master","Greedy","A rotation chooses a starting position in a circular list. A start is safe when every running sum around one full cycle stays nonnegative.","Print the smallest safe 0-based start index, or -1 if none exists. Follow the stated tie rule.","Line 1: N.
Line 2: N signed balances.","1 <= N <= 200000
balances: -10^9 to 10^9","1
0","0","1
0","0","2
1 -1","0","3
1 2 -3","0","4
2 -3 2 -1","2","3
5 -6 1","2","4
1 1 -1 -1","0","4
3 -4 2 -1","2","4
2 -1 -1 1","0","1
-5","-1","2
3 0","0","3
2 -2 -6","-1","5
6 -2 -5 5 6","3"
